# T Energy E_err Mag_abs M_err HeatCap C_err Suscept Chi_err
0.1 -0.992335 0.00168817 0 0 4.43472 0.325035 93.7092 24.8557
0.2 -0.992335 0.00168817 0 0 1.10868 0.0812586 46.8546 12.4279
0.3 -0.991918 0.00171772 0 0 0.502881 0.0354063 31.8808 8.15109
0.4 -0.985654 0.00272778 0 0 0.343312 0.0196835 64.3894 21.4981
0.5 -0.967694 0.00114628 0 0 0.376226 0.0150165 96.6921 7.87676
0.6 -0.929094 0.00106023 0 0 0.396463 0.0112442 41.6005 3.77266
0.7 -0.890392 0.000787563 0 0 0.433341 0.00705401 23.2156 1.07876
0.8 -0.847358 0.000940139 0 0 0.453255 0.00563934 14.5127 0.533093
0.9 -0.804739 0.000896177 0 0 0.44151 0.00637712 10.125 0.207329
1 -0.762152 0.000658702 0 0 0.422169 0.00365013 7.43611 0.194815
